review,rating,date,bank,source
I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,3,2026-04-28,Commercial Bank of Ethiopia,Google Play
go ahead,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
cbe mobile app best app,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
"easy for use,and good privacy",4,2026-04-27,Commercial Bank of Ethiopia,Google Play
amazing,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
i really judged this app. 99% were profit exclusive for others only with organization benefit.,1,2026-04-27,Commercial Bank of Ethiopia,Google Play
unable to use it is not performed well,1,2026-04-27,Commercial Bank of Ethiopia,Google Play
ወከቀቀ,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
Nice,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
Samsung A-5360 is not my device and i did not opened by this,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
notwork totransferto other,1,2026-04-26,Commercial Bank of Ethiopia,Google Play
የCommercial Bank of Ethiopia ሞባይል ባንኪንግ አገልግሎት በአጠቃላይ ጠቃሚ ነው፣ ግን አንድ ችግር አጋጥሞኛል። የሂሳብ ቁጥር በምናስገባበት ሳጥን ላይ “Mr” ወይም “Mrs” ከሚለው ቀጥሎ ያለውን ስም ለማስገባት ስፔስ (space) መጠቀም አይቻልም። ይህ ተጠቃሚዎችን ስም ትክክለኛ ለማስገባት እንዲቸገሩ ያደርጋል። እባክዎ በዚህ ክፍል ስፔስ መጠቀም እንዲቻል ወይም የስም መሙያ ስርዓቱን እንዲሻሻል ቢያደርጉ በጣም ጥሩ ይሆናል።,4,2026-04-26,Commercial Bank of Ethiopia,Google Play
🫶👍🙏,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
good app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
i am so happy,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.,1,2026-04-25,Commercial Bank of Ethiopia,Google Play
good job,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
I'm from Ethiopia and proud of CBE service app.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
I am successful with app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
everything is boaring the previous one is good,1,2026-04-25,Commercial Bank of Ethiopia,Google Play
good app but it needs more languages do it with more than four languages,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
good work,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
wow app.The developers make improvements every time.,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
nice and perfect,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
best experience,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
the best,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
What's wrong after i update the app unable to open,1,2026-04-24,Commercial Bank of Ethiopia,Google Play
👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏,1,2026-04-24,Commercial Bank of Ethiopia,Google Play
not sure at the moment,3,2026-04-24,Commercial Bank of Ethiopia,Google Play
it's the best app i have every seen it is fast and securty,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
Useful apps,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
easy to use,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
waw,4,2026-04-24,Commercial Bank of Ethiopia,Google Play
"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options.",2,2026-04-24,Commercial Bank of Ethiopia,Google Play
Very good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
አዲሱ ገጽታው በጣም ያስጠላል። ለአይን ይከብዳል። ወደነበረበት ብትመልሱት።,1,2026-04-23,Commercial Bank of Ethiopia,Google Play
I like it but sometimes there is a system error,4,2026-04-23,Commercial Bank of Ethiopia,Google Play
"the app keeps asking for update, even after being updated",3,2026-04-23,Commercial Bank of Ethiopia,Google Play
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team",1,2026-04-23,Commercial Bank of Ethiopia,Google Play
like,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
Good !,3,2026-04-23,Commercial Bank of Ethiopia,Google Play
very good cbe app,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
tel birr,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
halaba kuleto,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
best app ever,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
it's good app for ease of access mobile banking transaction and use our time properly!,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"pls make an option fingerprint Biometric payment only, it's fast and secure to pay",4,2026-04-22,Commercial Bank of Ethiopia,Google Play
በጣም ቀላልና ፈጣን ለመጠቀም ወድጀዋለሁ,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
I love this up to much eollahi,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
I hope this bank have excellent Mobile app but still not easy and not working in holidays why,4,2026-04-22,Commercial Bank of Ethiopia,Google Play
"It's a great, easy-to-use, very convenient and secure app.",5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Good Job,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Best app.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
it's so use full and secure 👍💪👌,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"there should be atm voucher access included , and also the app crash sometimes .",1,2026-04-22,Commercial Bank of Ethiopia,Google Play
"The app has some issues we need to have a place where we save our contacts where we usually send money to, after update I keep loosing all the important accounts.Also user needs to configure their notification types we want to receive either by email ,SMS or both. right now I don't get any notifications when I receive funds from companies.",1,2026-04-22,Commercial Bank of Ethiopia,Google Play
after the the recent update the app not responding. even transfer to telebirr isn't working.,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
Need more additional future include for now it's not bad,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
I don't like. I can't make transfer to my own telebirr,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
lag and stack not quick response 😞😞,2,2026-04-22,Commercial Bank of Ethiopia,Google Play
it good. to get services,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Number One App,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
this secure app of all Ethiopia mobile banking ever.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
